27
ENSG00000124493.13	GRM4	protein_coding
ENSG00000271231.1	KRT18P9	processed_pseudogene
ENSG00000214810.4	CYCSP55	processed_pseudogene
ENSG00000137309.19	HMGA1	protein_coding
ENSG00000276404.1	MIR6835	miRNA
ENSG00000186577.14	SMIM29	protein_coding
ENSG00000225339.3	AL354740.1	processed_transcript
ENSG00000220583.1	RPL35P2	processed_pseudogene
ENSG00000272325.2	NUDT3	protein_coding
ENSG00000270800.3	RPS10-NUDT3	protein_coding
ENSG00000124614.15	RPS10	protein_coding
ENSG00000124507.11	PACSIN1	protein_coding
ENSG00000124664.11	SPDEF	protein_coding
ENSG00000196114.3	AL031577.1	processed_pseudogene
ENSG00000196821.10	C6orf106	protein_coding
ENSG00000216636.1	RPL7P25	processed_pseudogene
ENSG00000265123.2	RN7SL200P	misc_RNA
ENSG00000220643.1	AL031577.2	processed_pseudogene
ENSG00000272288.5	AL451165.2	antisense
ENSG00000186328.4	AL451165.1	processed_pseudogene
ENSG00000217130.1	AL139100.1	processed_pseudogene
ENSG00000124562.10	SNRPC	protein_coding
ENSG00000065060.17	UHRF1BP1	protein_coding
ENSG00000206717.1	RF00019	misc_RNA
ENSG00000252106.2	RNY3P15	misc_RNA
ENSG00000064995.17	TAF11	protein_coding
ENSG00000064999.15	ANKS1A	protein_coding
